metabolite,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction
MGlcn48[e],mucin-type O-glycan No 48,,25,2,,,,,EX_MGlcn48(e)
MGlcn48_rl[e],released mucin-type O-glycan No 48,673.59504,25,2,,,,,EX_MGlcn48_rl(e)
MGlcn4_rl[e],released mucin-type O-glycan No 4,1242.12068,47,4,,,,,EX_MGlcn4_rl(e)
MGlcn5[e],mucin-type O-glycan No 5,,55,5,,,,,EX_MGlcn5(e)
MGlcn50[e],mucin-type O-glycan No 50,,31,2,,,,,EX_MGlcn50(e)
MGlcn50_rl[e],released mucin-type O-glycan No 50,819.7362400000001,31,2,,,,,EX_MGlcn50_rl(e)
MGlcn51[e],mucin-type O-glycan No 51,,33,3,,,,,EX_MGlcn51(e)
MGlcn51_rl[e],released mucin-type O-glycan No 51,876.78756,33,3,,,,,EX_MGlcn51_rl(e)
MGlcn53[e],mucin-type O-glycan No 53,,39,3,,,,,EX_MGlcn53(e)
MGlcn53_rl[e],released mucin-type O-glycan No 53,1038.92816,39,3,,,,,EX_MGlcn53_rl(e)
MGlcn54[e],mucin-type O-glycan No 54,,50,4,,,,,EX_MGlcn54(e)
MGlcn54_rl[e],released mucin-type O-glycan No 54,1329.1748,50,4,,,,,EX_MGlcn54_rl(e)
MGlcn55[e],mucin-type O-glycan No 55,,54,3,,,,,EX_MGlcn55(e)
MGlcn55_rl[e],released mucin-type O-glycan No 55,1406.29704,54,3,,,,,EX_MGlcn55_rl(e)
MGlcn56[e],mucin-type O-glycan No 56,,60,3,,,,,EX_MGlcn56(e)
MGlcn56_rl[e],released mucin-type O-glycan No 56,1568.43764,60,3,,,,,EX_MGlcn56_rl(e)
MGlcn57[e],mucin-type O-glycan No 57,,58,5,,,,,EX_MGlcn57(e)
MGlcn57_rl[e],released mucin-type O-glycan No 57,1520.39968,58,5,,,,,EX_MGlcn57_rl(e)
MGlcn58[e],mucin-type O-glycan No 58,,58,5,,,,,EX_MGlcn58(e)
MGlcn58_rl[e],released mucin-type O-glycan No 58,1520.39968,58,5,,,,,EX_MGlcn58_rl(e)
MGlcn59[e],mucin-type O-glycan No 59,,86,7,,,,,EX_MGlcn59(e)
MGlcn59_rl[e],released mucin-type O-glycan No 59,2247.03416,86,7,,,,,EX_MGlcn59_rl(e)
MGlcn5_rl[e],released mucin-type O-glycan No 5,1445.3131999999998,55,5,,,,,EX_MGlcn5_rl(e)
MGlcn6[e],mucin-type O-glycan No 6,,75,6,,,,,EX_MGlcn6(e)
MGlcn60[e],mucin-type O-glycan No 60,,86,7,,,,,EX_MGlcn60(e)
MGlcn60_rl[e],released mucin-type O-glycan No 60,2247.03416,86,7,,,,,EX_MGlcn60_rl(e)
MGlcn61[e],mucin-type O-glycan No 61,,64,5,,,,,EX_MGlcn61(e)
MGlcn61_rl[e],released mucin-type O-glycan No 61,1666.54088,64,5,,,,,EX_MGlcn61_rl(e)
MGlcn62[e],mucin-type O-glycan No 62,,64,5,,,,,EX_MGlcn62(e)
MGlcn62_rl[e],released mucin-type O-glycan No 62,1666.54088,64,5,,,,,EX_MGlcn62_rl(e)
MGlcn63[e],mucin-type O-glycan No 63,,64,5,,,,,EX_MGlcn63(e)
MGlcn63_rl[e],released mucin-type O-glycan No 63,1678.50852,64,5,,,,,EX_MGlcn63_rl(e)
MGlcn64[e],mucin-type O-glycan No 64,,67,5,,,,,EX_MGlcn64(e)
MGlcn64_rl[e],released mucin-type O-glycan No 64,1753.595,67,5,,,,,EX_MGlcn64_rl(e)
MGlcn65[e],mucin-type O-glycan No 65,,72,6,,,,,EX_MGlcn65(e)
MGlcn65_rl[e],released mucin-type O-glycan No 65,1897.70044,72,6,,,,,EX_MGlcn65_rl(e)
MGlcn66[e],mucin-type O-glycan No 66,,50,4,,,,,EX_MGlcn66(e)
MGlcn66_rl[e],released mucin-type O-glycan No 66,1317.20716,50,4,,,,,EX_MGlcn66_rl(e)
MGlcn67[e],mucin-type O-glycan No 67,,78,6,,,,,EX_MGlcn67(e)
MGlcn67_rl[e],released mucin-type O-glycan No 67,2043.84164,78,6,,,,,EX_MGlcn67_rl(e)
MGlcn68[e],mucin-type O-glycan No 68,,56,4,,,,,EX_MGlcn68(e)
MGlcn68_rl[e],released mucin-type O-glycan No 68,1463.34836,56,4,,,,,EX_MGlcn68_rl(e)
MGlcn69[e],mucin-type O-glycan No 69,,40,2,,,,,EX_MGlcn69(e)
MGlcn69_rl[e],released mucin-type O-glycan No 69,1040.96392,40,2,,,,,EX_MGlcn69_rl(e)
MGlcn6_rl[e],released mucin-type O-glycan No 6,1956.78752,75,6,,,,,EX_MGlcn6_rl(e)
MGlcn7[e],mucin-type O-glycan No 7,,72,6,,,,,EX_MGlcn7(e)
MGlcn70[e],mucin-type O-glycan No 70,,40,2,,,,,EX_MGlcn70(e)
MGlcn70_rl[e],released mucin-type O-glycan No 70,1040.96392,40,2,,,,,EX_MGlcn70_rl(e)
MGlcn71[e],mucin-type O-glycan No 71,,46,2,,,,,EX_MGlcn71(e)
MGlcn71_rl[e],released mucin-type O-glycan No 71,1203.10452,46,2,,,,,EX_MGlcn71_rl(e)
MGlcn72[e],mucin-type O-glycan No 72,,30,3,,,,,EX_MGlcn72(e)
MGlcn72_rl[e],released mucin-type O-glycan No 72,789.73344,30,3,,,,,EX_MGlcn72_rl(e)
MGlcn73[e],mucin-type O-glycan No 73,,22,2,,,,,EX_MGlcn73(e)
MGlcn73_rl[e],released mucin-type O-glycan No 73,586.54092,22,2,,,,,EX_MGlcn73_rl(e)
MGlcn74[e],mucin-type O-glycan No 74,,34,2,,,,,EX_MGlcn74(e)
MGlcn74_rl[e],released mucin-type O-glycan No 74,894.82272,34,2,,,,,EX_MGlcn74_rl(e)
MGlcn75[e],mucin-type O-glycan No 75,,40,2,,,,,EX_MGlcn75(e)
MGlcn75_rl[e],released mucin-type O-glycan No 75,1040.96392,40,2,,,,,EX_MGlcn75_rl(e)
MGlcn76[e],mucin-type O-glycan No 76,,40,2,,,,,EX_MGlcn76(e)
MGlcn76_rl[e],released mucin-type O-glycan No 76,1040.96392,40,2,,,,,EX_MGlcn76_rl(e)
MGlcn77[e],mucin-type O-glycan No 77,,28,2,,,,,EX_MGlcn77(e)
MGlcn77_rl[e],released mucin-type O-glycan No 77,748.68152,28,2,,,,,EX_MGlcn77_rl(e)
MGlcn78[e],mucin-type O-glycan No 78,,28,2,,,,,EX_MGlcn78(e)
MGlcn78_rl[e],released mucin-type O-glycan No 78,748.68152,28,2,,,,,EX_MGlcn78_rl(e)
MGlcn79[e],mucin-type O-glycan No 79,,28,2,,,,,EX_MGlcn79(e)
MGlcn79_rl[e],released mucin-type O-glycan No 79,748.68152,28,2,,,,,EX_MGlcn79_rl(e)
MGlcn7_rl[e],released mucin-type O-glycan No 7,1881.70104,72,6,,,,,EX_MGlcn7_rl(e)
MGlcn8[e],mucin-type O-glycan No 8,,80,7,,,,,EX_MGlcn8(e)
MGlcn80[e],mucin-type O-glycan No 80,,42,3,,,,,EX_MGlcn80(e)
MGlcn80_rl[e],released mucin-type O-glycan No 80,1098.01524,42,3,,,,,EX_MGlcn80_rl(e)
MGlcn81[e],mucin-type O-glycan No 81,,58,5,,,,,EX_MGlcn81(e)
MGlcn81_rl[e],released mucin-type O-glycan No 81,1532.3673199999998,58,5,,,,,EX_MGlcn81_rl(e)
MGlcn82[e],mucin-type O-glycan No 82,,36,3,,,,,EX_MGlcn82(e)
MGlcn82_rl[e],released mucin-type O-glycan No 82,951.87404,36,3,,,,,EX_MGlcn82_rl(e)
MGlcn83[e],mucin-type O-glycan No 83,,36,3,,,,,EX_MGlcn83(e)
MGlcn83_rl[e],released mucin-type O-glycan No 83,951.87404,36,3,,,,,EX_MGlcn83_rl(e)
MGlcn84[e],mucin-type O-glycan No 84,,42,3,,,,,EX_MGlcn84(e)
MGlcn84_rl[e],released mucin-type O-glycan No 84,1098.01524,42,3,,,,,EX_MGlcn84_rl(e)
MGlcn85[e],mucin-type O-glycan No 85,,42,3,,,,,EX_MGlcn85(e)
MGlcn85_rl[e],released mucin-type O-glycan No 85,1098.01524,42,3,,,,,EX_MGlcn85_rl(e)
MGlcn86[e],mucin-type O-glycan No 86,,42,3,,,,,EX_MGlcn86(e)
MGlcn86_rl[e],released mucin-type O-glycan No 86,1098.01524,42,3,,,,,EX_MGlcn86_rl(e)
MGlcn87[e],mucin-type O-glycan No 87,,42,3,,,,,EX_MGlcn87(e)
MGlcn87_rl[e],released mucin-type O-glycan No 87,1098.01524,42,3,,,,,EX_MGlcn87_rl(e)
MGlcn88[e],mucin-type O-glycan No 88,,66,6,,,,,EX_MGlcn88(e)
MGlcn88_rl[e],released mucin-type O-glycan No 88,1735.55984,66,6,,,,,EX_MGlcn88_rl(e)
MGlcn89[e],mucin-type O-glycan No 89,,44,4,,,,,EX_MGlcn89(e)
MGlcn89_rl[e],released mucin-type O-glycan No 89,1155.06656,44,4,,,,,EX_MGlcn89_rl(e)
MGlcn8_rl[e],released mucin-type O-glycan No 8,2100.89296,80,7,,,,,EX_MGlcn8_rl(e)
MGlcn9[e],mucin-type O-glycan No 9,,94,8,,,,,EX_MGlcn9(e)
MGlcn90[e],mucin-type O-glycan No 90,,40,2,,,,,EX_MGlcn90(e)
MGlcn90_rl[e],released mucin-type O-glycan No 90,1056.96332,40,2,,,,,EX_MGlcn90_rl(e)
MGlcn91[e],mucin-type O-glycan No 91,,40,2,,,,,EX_MGlcn91(e)
MGlcn91_rl[e],released mucin-type O-glycan No 91,1056.96332,40,2,,,,,EX_MGlcn91_rl(e)
MGlcn92[e],mucin-type O-glycan No 92,,40,2,,,,,EX_MGlcn92(e)
MGlcn92_rl[e],released mucin-type O-glycan No 92,1056.96332,40,2,,,,,EX_MGlcn92_rl(e)
MGlcn93[e],mucin-type O-glycan No 93,,40,2,,,,,EX_MGlcn93(e)
MGlcn93_rl[e],released mucin-type O-glycan No 93,1056.96332,40,2,,,,,EX_MGlcn93_rl(e)
MGlcn94[e],mucin-type O-glycan No 94,,40,2,,,,,EX_MGlcn94(e)
MGlcn94_rl[e],released mucin-type O-glycan No 94,1056.96332,40,2,,,,,EX_MGlcn94_rl(e)
MGlcn95[e],mucin-type O-glycan No 95,,40,2,,,,,EX_MGlcn95(e)
MGlcn95_rl[e],released mucin-type O-glycan No 95,1056.96332,40,2,,,,,EX_MGlcn95_rl(e)
MGlcn96[e],mucin-type O-glycan No 96,,40,2,,,,,EX_MGlcn96(e)
MGlcn96_rl[e],released mucin-type O-glycan No 96,1056.96332,40,2,,,,,EX_MGlcn96_rl(e)
MGlcn97[e],mucin-type O-glycan No 97,,34,2,,,,,EX_MGlcn97(e)
MGlcn97_rl[e],released mucin-type O-glycan No 97,910.8221199999999,34,2,,,,,EX_MGlcn97_rl(e)
MGlcn98[e],mucin-type O-glycan No 98,,48,3,,,,,EX_MGlcn98(e)
MGlcn98_rl[e],released mucin-type O-glycan No 98,1260.1558400000001,48,3,,,,,EX_MGlcn98_rl(e)
MGlcn99[e],mucin-type O-glycan No 99,,48,3,,,,,EX_MGlcn99(e)
MGlcn99_rl[e],released mucin-type O-glycan No 99,1260.1558400000001,48,3,,,,,EX_MGlcn99_rl(e)
MGlcn9_rl[e],released mucin-type O-glycan No 9,2450.2266799999998,94,8,,,,,EX_MGlcn9_rl(e)
Ser_Thr[e],protein-linked serine or threonine residue (O-glycosylation site),,0,0,,,,,EX_Ser_Thr(e)
T_antigen[e],T antigen (core 1),,14,1,,,,,EX_T_antigen(e)
Tn_antigen[e],Tn antigen,,8,1,,,C04383,,EX_Tn_antigen(e)
ac[e],acetate,59.044019999999996,2,0,HMDB00042,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",C00033,176,EX_ac(e)
acald[e],acetaldehyde,44.05256,2,0,HMDB00990,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",C00084,177,EX_acald(e)
acgal[e],N-acetyl-D-galactosamine,221.2078,8,1,HMDB00212,,C01132,35717,EX_acgal(e)
acgam[e],N-acetyl-D-glucosamine,221.2078,8,1,HMDB00215,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",C00140,439174,EX_acgam(e)
acnam[e],N-acetylneuraminate,308.26192000000003,11,1,HMDB00230,,C19910,439197,EX_acnam(e)
acnam2a6agal[e],"Alpha-2,6-N-acetylneuraminate-N-acetylgalactosamine",511.45444000000003,19,2,,,,,EX_acnam2a6agal(e)
ade[e],Adenine,135.1267,5,5,HMDB00034,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",C00147,190,EX_ade(e)
adn[e],Adenosine,267.24132,10,5,HMDB00050,,C00212,60961,EX_adn(e)
agal1b3agal[e],"Beta-1,3-N,N-diacetylgalactosamine",424.40032,16,2,,,,,EX_agal1b3agal(e)
agam1b3agal[e],"Beta-1,3-N-acetylglucosamine-N-acetylgalactosamine",424.40032,16,2,,,,,EX_agam1b3agal(e)
agam1b6agal[e],"Beta-1,6-N-acetylglucosamine-N-acetylgalactosamine",424.40032,16,2,,,,,EX_agam1b6agal(e)
ala_L[e],L-alanine,89.09318,3,1,HMDB00161,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",C00041,5950,EX_ala_L(e)
alaasp[e],L-alanyl-L-aspartate,203.17264,7,2,,,,,EX_alaasp(e)
alagln[e],L-alanyl-L-glutamine,217.2224,8,3,,,,,EX_alagln(e)
alaglu[e],L-alanyl-L-glutamate,217.19922,8,2,,,,,EX_alaglu(e)
alagly[e],L-alanylglycine,146.1445,5,2,,,,,EX_alagly(e)
alahis[e],L-alanyl-L-histidine,226.23246,9,4,,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",C00386,,EX_alahis(e)
alaleu[e],L-alanyl-L-leucine,202.25082,9,2,,,,,EX_alaleu(e)
alathr[e],L-alanyl-L-threonine,190.19706,7,2,,,,,EX_alathr(e)
arbt[e],Arbutin,272.25124,12,0,,,C06186,,EX_arbt(e)
asn_L[e],L-asparagine,132.11792,4,2,HMDB00168,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",C00152,6267,EX_asn_L(e)
asp_L[e],L-aspartate(1-),132.09474,4,1,HMDB00191,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",C00049,5960,EX_asp_L(e)
btn[e],Biotin,243.3027,10,2,HMDB00030,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",C00120,171548,EX_btn(e)
ca2[e],calcium(2+),40.078,0,0,HMDB00464,InChI=1S/Ca/q+2,C00076,,EX_ca2(e)
cd2[e],Cadmium,112.411,0,0,,,,,EX_cd2(e)
cgly[e],L-cysteinylglycine,178.2095,5,2,HMDB00078,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",C01419,439498,EX_cgly(e)
chtbs[e],"N,N-diacetylchitobiose",424.40032,16,2,,,,,EX_chtbs(e)
cl[e],Chloride,35.453,0,0,HMDB00492,InChI=1S/ClH/h1H/p-1,C00698,312,EX_cl(e)
co2[e],carbon dioxide,44.0095,1,0,HMDB01967,InChI=1S/CO2/c2-1-3,C00011,280,EX_co2(e)
cobalt2[e],Co2+,58.9332,0,0,,,,,EX_cobalt2(e)
core2[e],Core 2,,22,2,,,,,EX_core2(e)
core2_rl[e],released Core 2,586.54092,22,2,,,,,EX_core2_rl(e)
core3[e],Core 3,,16,2,,,,,EX_core3(e)
core4[e],Core 4,,24,3,,,,,EX_core4(e)
core4_rl[e],released Core 4,627.59284,24,3,,,,,EX_core4_rl(e)
core5[e],Core 5,,16,2,,,,,EX_core5(e)
core6[e],Core 6,,16,2,,,,,EX_core6(e)
core7[e],Core 7,,16,2,,,,,EX_core7(e)
core8[e],Core 8,,14,1,,,,,EX_core8(e)
csn[e],cytosine,111.102,4,3,HMDB00630,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",C00380,597,EX_csn(e)
cu2[e],Cu2+,63.546,0,0,,,,,EX_cu2(e)
cys_L[e],L-cysteine,121.15818,3,1,HMDB00574,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",C00097,5862,EX_cys_L(e)
cytd[e],Cytidine,243.21662,9,3,HMDB00089,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",C00475,6175,EX_cytd(e)
dad_2[e],2-deoxyadenosine,251.24192,10,5,HMDB00101,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",C00559,13730,EX_dad_2(e)
ddca[e],laurate,199.30982,12,0,HMDB00638,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",C02679,3893,EX_ddca(e)
dgsn[e],Deoxyguanosine,267.24132,10,5,HMDB00085,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",C00330,187790,EX_dgsn(e)
dsT_antigen[e],disialyl-T antigen,,36,3,,,,,EX_dsT_antigen(e)
dsT_antigen_rl[e],released disialyl-T antigen,963.84168,36,3,,,,,EX_dsT_antigen_rl(e)
etoh[e],ethanol,46.06844,2,0,HMDB00108,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",C00469,702,EX_etoh(e)
f1a[e],F1alpha,,22,2,,,,,EX_f1a(e)
f1a_rl[e],released F1alpha antigen,586.54092,22,2,,,,,EX_f1a_rl(e)
fe2[e],Fe2+,55.845,0,0,HMDB00692,InChI=1S/Fe/q+2,C14818,27284,EX_fe2(e)
fe3[e],Fe3+,55.845,0,0,HMDB12943,InChI=1S/Fe/q+3,C14819,29936,EX_fe3(e)
fecrm[e],Ferrichrome,740.52048,27,9,,,,,EX_fecrm(e)
for[e],Formate,45.01744,1,0,HMDB00142,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",C00058,284,EX_for(e)
fru[e],D-Fructose,180.15588,6,0,HMDB00660,,C02336,439709,EX_fru(e)
fuc_L[e],L-fucose,164.15648,6,0,HMDB00174,,C01019,17106,EX_fuc_L(e)
gal[e],D-Galactose,180.15588,6,0,HMDB00143,,C00984,439357,EX_gal(e)
gal1a3acgal[e],"Alpha-1,3-Galactose-N-acetylgalactosamine",383.3484,14,1,,,,,EX_gal1a3acgal(e)
gal1b3acgal[e],"Beta-1,3-Galactose-N-acetylgalactosamine",383.3484,14,1,,,,,EX_gal1b3acgal(e)
galt[e],galactitol,182.17176,6,0,HMDB00107,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-",C01697,11850,EX_galt(e)
gam[e],D-Glucosamine,180.17906,6,1,HMDB01514,,C00329,439213,EX_gam(e)
glc_D[e],D-glucose,180.15588,6,0,HMDB00122,,C00031,5793,EX_glc_D(e)
gln_L[e],L-glutamine,146.1445,5,2,HMDB00641,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",C00064,5961,EX_gln_L(e)
glu_L[e],L-glutamate(1-),146.12132,5,1,HMDB00148,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-1/t3-/m0/s1",C00025,33032,EX_glu_L(e)
gly[e],Glycine,75.0666,2,1,HMDB00123,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",C00037,750,EX_gly(e)
glyasn[e],Glycyl-L-asparagine,189.16924,6,3,,,,,EX_glyasn(e)
glyasp[e],Glycyl-L-aspartate,189.14606,6,2,,,,,EX_glyasp(e)
glyc[e],Glycerol,92.09382,3,0,HMDB00131,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",C00116,753,EX_glyc(e)
glycys[e],Gly-Cys,178.2095,5,2,,,,,EX_glycys(e)
glygln[e],Glycyl-L-glutamine,203.19582,7,3,,,,,EX_glygln(e)
glyglu[e],Glycyl-L-glutamate,203.17264,7,2,,,,,EX_glyglu(e)
glyleu[e],Glycylleucine,188.22424,8,2,HMDB00759,,C02155,92843,EX_glyleu(e)
glymet[e],Glycyl-L-methionine,206.26265999999998,7,2,,,,,EX_glymet(e)
glyphe[e],Glycylphenylalanine,222.24046,11,2,,,,97415,EX_glyphe(e)
glypro[e],Glycylproline,172.18178,7,2,HMDB00721,,,79101,EX_glypro(e)
glytyr[e],Glycyl-L-tyrosine,238.23986000000002,11,2,,,,,EX_glytyr(e)
gncore1[e],"GlcNAc-alpha-1,4-Core 1",,22,2,,,,,EX_gncore1(e)
gncore1_rl[e],"released GlcNAc-alpha-1,4-Core 1",586.54092,22,2,,,,,EX_gncore1_rl(e)
gncore2[e],"GlcNAc-alpha-1,4-Core 2",,30,3,,,,,EX_gncore2(e)
gncore2_rl[e],"released GlcNAc-alpha-1,4-Core 2",789.73344,30,3,,,,,EX_gncore2_rl(e)
h[e],proton,1.00794,0,0,HMDB01362,InChI=1S/p+1/i/hH,C00282,1038,EX_h(e)
h2[e],Hydrogen,2.01588,0,0,HMDB01362,InChI=1S/H2/h1H,C00282,783,EX_h2(e)
h2o[e],Water,18.01528,0,0,HMDB02111,InChI=1S/H2O/h1H2,C00001,962,EX_h2o(e)
h2s[e],Hydrogen sulfide,34.08088,0,0,,,,,EX_h2s(e)
hdca[e],Hexadecanoate (n-C16:0),255.41613999999998,16,0,HMDB00220,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1",C00249,985,EX_hdca(e)
hg2[e],Hg2+,200.59,0,0,,,,,EX_hg2(e)
his_L[e],L-histidine,155.15456,6,3,HMDB00177,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1",C00135,6274,EX_his_L(e)
ind3ac[e],indole-3-acetate,174.17602,10,1,HMDB00197,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)/p-1",C00954,802,EX_ind3ac(e)
indole[e],Indole,117.14788,8,1,,,,,EX_indole(e)
ins[e],Inosine,268.22608,10,4,HMDB00195,,C00294,6021,EX_ins(e)
k[e],potassium,39.0983,0,0,HMDB00586,InChI=1S/K/q+1,C00238,813,EX_k(e)
lac_D[e],(R)-lactate,89.07,3,0,HMDB01311,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m1/s1",C00256,61503,EX_lac_D(e)
lald_L[e],(S)-lactaldehyde,74.07854,3,0,HMDB03052,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3/t3-/m0/s1",C00424,439231,EX_lald_L(e)
leu_L[e],L-leucine,131.17292,6,1,HMDB00687,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",C00123,6106,EX_leu_L(e)
lys_L[e],L-lysinium(1+),147.1955,6,2,HMDB00182,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",C00047,5962,EX_lys_L(e)
malt[e],Maltose,342.29648000000003,12,0,HMDB00163,,C00208,439186,EX_malt(e)
man[e],D-Mannose,180.15588,6,0,HMDB00169,,C00159,18950,EX_man(e)
met_L[e],L-methionine,149.21134,5,1,HMDB00696,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",C00073,6137,EX_met_L(e)
metala[e],L-methionyl-L-alanine,220.28924,8,2,,"InChI=1S/C8H16N2O3S/c1-5(8(12)13)10-7(11)6(9)3-4-14-2/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t5-,6-/m0/s1",,,EX_metala(e)
mg2[e],magnesium,24.305,0,0,,,,,EX_mg2(e)
mn2[e],Mn2+,54.938049,0,0,,,,,EX_mn2(e)
mnl[e],D-Mannitol,182.17176,6,0,,,,,EX_mnl(e)
mqn8[e],Menaquinone 8,717.11618,51,0,,,C00828,4086,EX_mqn8(e)
na1[e],Sodium,22.98977,0,0,HMDB00588,InChI=1S/Na/q+1,C01330,923,EX_na1(e)
nac[e],Nicotinate,122.10146,6,1,HMDB01488,,C00253,938,EX_nac(e)
nh4[e],Ammonium,18.03846,0,1,HMDB00051,InChI=1S/H3N/h1H3/p+1,C00014,223,EX_nh4(e)
o2[e],O2,31.9988,0,0,HMDB01377,InChI=1S/O2/c1-2,C00007,977,EX_o2(e)
ocdca[e],octadecanoate (n-C18:0),283.4693,18,0,HMDB00827,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",C01530,3033836,EX_ocdca(e)
ocdcea[e],octadecenoate (n-C18:1),281.45342,18,0,HMDB00207,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/p-1/b10-9-",C00712,5460221,EX_ocdcea(e)
orn[e],Ornithine,133.16892,5,2,HMDB00214,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/p+1",C00077,6262,EX_orn(e)
pb[e],Lead,207.2,0,0,,,,,EX_pb(e)
phe_L[e],L-phenylalanine,165.18914,9,1,HMDB00159,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",C00079,6140,EX_phe_L(e)
pheme[e],Protoheme,614.4714,34,4,HMDB03178,,C00032,,EX_pheme(e)
pi[e],hydrogenphosphate,95.97930099999999,0,0,HMDB00973,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",C00009,1004,EX_pi(e)
ppa[e],propionate,73.0706,3,0,HMDB00237,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/p-1",C00163,1032,EX_ppa(e)
ppi[e],Diphosphate,174.951262,0,0,HMDB00250,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-3",C00013,1023,EX_ppi(e)
